data.source,base.categories,Level_1,Level_2,Level_3
ACLED,AMISOM: African Union Mission in Somalia (2007-) (Djibouti),peacekeepers,violent political groups,violent groups
ACLED,AMISOM: African Union Mission in Somalia (2007-) (Ethiopia),peacekeepers,violent political groups,violent groups
ACLED,AMISOM: African Union Mission in Somalia (2007-) (Kenya),peacekeepers,violent political groups,violent groups
ACLED,AMISOM: African Union Mission in Somalia (2007-) (Sierra Leone),peacekeepers,violent political groups,violent groups
ACLED,AMISOM: African Union Mission in Somalia (2007-) (Uganda),peacekeepers,violent political groups,violent groups
ACLED,Amizero yAbarundi,political party,nonviolent political groups,nonviolent groups
ACLED,Amokwu Affa Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Amonhim Communal Militia (South Sudan),armed group,violent political groups,violent groups
ACLED,Amuka Boys/Rhino Militia,armed group,violent political groups,violent groups
ACLED,Amuru Communal Milita (Uganda),armed group,violent political groups,violent groups
ACLED,Amuru Communal Militia (Uganda),armed group,violent political groups,violent groups
ACLED,ANC-Motlanthe: African National Congress (Motlanthe Faction),political party,nonviolent political groups,nonviolent groups
ACLED,ANC-Zuma: African National Congress (Zuma Faction),political party,nonviolent political groups,nonviolent groups
ACLED,ANC: African National Congress,political party,nonviolent political groups,nonviolent groups
ACLED,ANCA: Customs Clearing Agents,government,nonviolent political groups,nonviolent groups
ACLED,ANCD: National Alliance for Change and Democracy,political party,nonviolent political groups,nonviolent groups
ACLED,ANCYL: African National Congress Youth League,civilians,nonviolent civilian groups,nonviolent groups
ACLED,Andanis Ethnic Militia (Ghana),armed group,violent political groups,violent groups
ACLED,Anlo Ethnic Militia (Ghana),armed group,violent political groups,violent groups
ACLED,ANPP: All Nigeria Peoples Party,political party,nonviolent political groups,nonviolent groups
ACLED,Ansar al-Jihad al-Alami,armed group,violent political groups,violent groups
ACLED,Ansar al-Sharia,armed group,violent political groups,violent groups
ACLED,Ansar Beit al-Maqdis,armed group,violent political groups,violent groups
ACLED,Ansar Dine,armed group,violent political groups,violent groups
ACLED,Ansaroul Islam,armed group,violent political groups,violent groups
ACLED,Ansaru,armed group,violent political groups,violent groups
ACLED,ANSIPRJ: National Alliance for the Protection of the Fulani Identity and the Restoration of Justice,armed group,violent political groups,violent groups
ACLED,ANSIPRJ: National Alliance for the Protection of the Fulani Identity and the Restoration of Justice (Cisse Faction),armed group,violent political groups,violent groups
ACLED,Antandroy Ethnic Militia (Madagasacar),armed group,violent political groups,violent groups
ACLED,Anti-Balaka,armed group,violent political groups,violent groups
ACLED,Anti-Balaka,armed group,violent political groups,violent groups
ACLED,Anti-militant Unit of Liberia (1997-2003),armed group,violent political groups,violent groups
ACLED,Anti-Senate Militia,armed group,violent political groups,violent groups
ACLED,Anuak Ethnic Militia (Ethiopia),armed group,violent political groups,violent groups
ACLED,Anuak Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,AP: Accord Party,political party,nonviolent political groups,nonviolent groups
ACLED,AP: Action Party,political party,nonviolent political groups,nonviolent groups
ACLED,APC: All Peoples Congress,political party,nonviolent political groups,nonviolent groups
ACLED,APC: All Progressives Congress,political party,nonviolent political groups,nonviolent groups
ACLED,APCLS: Alliance of Patriots for a Free and Sovereign Congo,armed group,violent political groups,violent groups
ACLED,APGA: All Progressives Grand Alliance Party,political party,nonviolent political groups,nonviolent groups
ACLED,APP: Afar Peoples Party,movements,nonviolent civilian groups,nonviolent groups
ACLED,APP: All Peoples Party,movements,nonviolent civilian groups,nonviolent groups
ACLED,APR: Alliance for the Republic,political party,nonviolent political groups,nonviolent groups
ACLED,APRC: Alliance for Patriotic Re-orientation and Construction,political party,nonviolent political groups,nonviolent groups
ACLED,APRD: Popular Army for the Restoration of the Republic and Democracy,armed group,violent political groups,violent groups
ACLED,AQIM: Al Qaeda in the Islamic Maghreb,religious group,nonviolent civilian groups,nonviolent groups
ACLED,Arab Ethnic Militia (Algeria),armed group,violent political groups,violent groups
ACLED,Arab Ethnic Militia (Chad),armed group,violent political groups,violent groups
ACLED,Arab Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Arab Ethnic Militia (Mali),armed group,violent political groups,violent groups
ACLED,Arab Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Arab Ethnic Militia (South Sudan),armed group,violent political groups,violent groups
ACLED,Arab Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Arab Salah Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Arab Spring Forces,armed group,violent political groups,violent groups
ACLED,ARC: Revolutionary Army of the Congo,armed group,violent political groups,violent groups
ACLED,ARDUF: Afar Revolutionary Democratic Unity Front,political party,nonviolent political groups,nonviolent groups
ACLED,Area Boys Militia,armed group,violent political groups,violent groups
ACLED,Armed Youth Group from Odumasi,armed group,violent political groups,violent groups
ACLED,Army of Islam,armed group,violent political groups,violent groups
ACLED,Army of Palestine Militia,armed group,violent political groups,violent groups
ACLED,ARPCT: Alliance for the Restoration of Peace and Counter-Terrorism,armed group,violent political groups,violent groups
ACLED,Arrow Boys Militia,armed group,violent political groups,violent groups
ACLED,Arrow Boys Militia-SSNA (South Sudan National Army Faction),armed group,violent political groups,violent groups
ACLED,ARS-Asmara: Alliance for Re-Liberation of Somalia-Asmara,ethnic group,nonviolent civilian groups,nonviolent groups
ACLED,ARS-Djibouti: Alliance for Re-Liberation of Somalia-Djibouti,ethnic group,nonviolent civilian groups,nonviolent groups
ACLED,Artala Communal Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Artillery and Missles Brigade,unknown,unknown,violent groups
ACLED,Asipa Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,ASWJ-Sufa: Ahlu Sunna Wal Jamaa (Sufa Faction),armed group,violent political groups,violent groups
ACLED,ASWJ: Ahlu Sunna Wal Jamaa,armed group,violent political groups,violent groups
ACLED,Atekodyek Owidi Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,ATNMC: North Mali Tuareg Alliance for Change,armed group,violent political groups,violent groups
ACLED,Attagara Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Atulbabisi Clan Militia (Ghana),armed group,violent political groups,violent groups
ACLED,AU-RTF: African Union-led Regional Task Force (2011-),peacekeepers,violent political groups,violent groups
ACLED,AU: African Union,movements,nonviolent civilian groups,nonviolent groups
ACLED,Auliyan Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Auliyan Ethnic Militia (Kenya),armed group,violent political groups,violent groups
ACLED,Aw Masuse Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,AWB: Afrikaner Resistance Movement,civilians,nonviolent civilian groups,nonviolent groups
ACLED,Awkutub Sheqaa-Hawiye Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Awlad Omran Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Awlad Rashdan Clan Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Awlad Shibek Misseriya Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Awlad Suleiman Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Awlad Umran Misseriya Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Awori Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Awramale Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Ayele Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Ayeul Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Ayok Clan Dinka Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Ayr Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Ayr-Ayanle Sub-Clan Militia (Ethiopia),armed group,violent political groups,violent groups
ACLED,Ayr-Bilaal Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Ayr-Cabsiiye Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Ayr-Habanji Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Ayr-Hawiye Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Ayr-Yabar Dhowrakece Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Ayual Ethnic Militia (South Sudan),armed group,violent political groups,violent groups
ACLED,Ba Rukoti,unknown,unknown,violent groups
ACLED,Bab al-Tajoura Brigade,armed group,violent political groups,violent groups
ACLED,Bafou Communal Militia (Cameroon),armed group,violent political groups,violent groups
ACLED,Bafuliru Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bafumbira Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Bagam Ethnic Militia (Cameroon),armed group,violent political groups,violent groups
ACLED,Baggara-Murahaleen Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Bagisu Ethnic Militia (Kenya),armed group,violent political groups,violent groups
ACLED,Bagisu Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Bagungu Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Bagwere Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Bahararsame Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Bahima Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Baidoa Communal Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Bajaj Riders Militia,armed group,violent political groups,violent groups
ACLED,Bajju Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Bakabeya Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bakassi Boys Militia,armed group,violent political groups,violent groups
ACLED,Bakata Katanga Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bakiga Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Bako Communal Militia (Ivory Coast),armed group,violent political groups,violent groups
ACLED,Bakonzo Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Bakwa Katulayi Ethnic Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bakwa Mfika Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bakwa Yidu Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Balala Rondo,armed group,violent political groups,violent groups
ACLED,Balalo Communal Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Balubakat: Association of the Baluba People of Katanga,civilians,nonviolent civilian groups,nonviolent groups
ACLED,Bamate Ethnic Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bamukumbit Communal Militia (Cameroon),armed group,violent political groups,violent groups
ACLED,Banana Political Militia,armed group,violent political groups,violent groups
ACLED,Bang Communal Militia (Central African Republic),armed group,violent political groups,violent groups
ACLED,Bangui Communal Militia (Central African Republic),armed group,violent political groups,violent groups
ACLED,Bani Hussein Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Bantu Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Bantu Ethnic Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Banyamulenge Ethnic Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Banyangui Ethnic Militia (Cameroon),armed group,violent political groups,violent groups
ACLED,Banyarwanda Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Banyole Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Banyoro Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Baoule Ethnic Militia (Burkina Faso),armed group,violent political groups,violent groups
ACLED,Baoule Ethnic Militia (Ivory Coast),armed group,violent political groups,violent groups
ACLED,Bapo Ba Mogale Tribal Authority,ethnic group,nonviolent civilian groups,nonviolent groups
ACLED,Barako Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Barei Communal Militia (Benin),armed group,violent political groups,violent groups
ACLED,Bari Ethnic Militia (South Sudan),armed group,violent political groups,violent groups
ACLED,Bari Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Barre Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Barre-Hirale Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Bartire Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Barundi Ethnic Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bashir Sadawi Brigade,armed group,violent political groups,violent groups
ACLED,Bashmurqa Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Basongora Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Bassa Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Bassari Ethnic Militia (Ghana),armed group,violent political groups,violent groups
ACLED,BAT: Boere Attack Troop,armed group,violent political groups,violent groups
ACLED,Batangafo Communal Militia (Central African Republic),armed group,violent political groups,violent groups
ACLED,Batetelas Ethnic Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Batwa Ethnic Militia (Burundi),armed group,violent political groups,violent groups
ACLED,Batwa Ethnic Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Batwa Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Baye Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,BC: Beja Congress,movements,nonviolent civilian groups,nonviolent groups
ACLED,BCP: Basutoland Congress Party,political party,nonviolent political groups,nonviolent groups
ACLED,BDK: Bunda Dia Kongo,religious group,nonviolent civilian groups,nonviolent groups
ACLED,Bechri Communal Militia (Tunisia),armed group,violent political groups,violent groups
ACLED,Bedouin Ethnic Militia (Egypt),armed group,violent political groups,violent groups
ACLED,Begedi Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Beharona Communal Militia (Madagascar),armed group,violent political groups,violent groups
ACLED,Beidyahan-Majeerteen Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Bekuma Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Beletiama Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Ben Nayal Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Bena Dipumba Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bena Kambombo Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Bena Kelende Communal Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Benekuku Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Benghazi Communal Militia (Libya),armed group,violent political groups,violent groups
ACLED,Beni Amir Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Beni Halba Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Beni Omran Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Benishangale Ethnic Militia (Ethiopia),armed group,violent political groups,violent groups
ACLED,Berber Ethnic Militia (Algeria),armed group,violent political groups,violent groups
ACLED,Berber Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Berber Tabu Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Berdossou Communal Militia (Mali),armed group,violent political groups,violent groups
ACLED,Berom Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Berseba Communal Militia (Namibia),armed group,violent political groups,violent groups
ACLED,Berti Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Betanatanana Communal Militia (Madagascar),armed group,violent political groups,violent groups
ACLED,Bete Ethnic Militia (Ivory Coast),armed group,violent political groups,violent groups
ACLED,Betioky-Sud Communal Militia (Madagascar),armed group,violent political groups,violent groups
